_id,Word,Type
ObjectId("5ced7aabc199633b78c34b63"),а,Честичка
ObjectId("5ced7aacc199633b78c34b64"),а,Сврзник
ObjectId("5ced7aaec199633b78c34b65"),аба,Именка
ObjectId("5ced7aaec199633b78c34b66"),абажур,Именка
ObjectId("5ced7aafc199633b78c34b67"),абаџија,Именка
ObjectId("5ced7ab0c199633b78c34b68"),абдал,Именка
ObjectId("5ced7ab2c199633b78c34b69"),абдикација,Именка
ObjectId("5ced7ab3c199633b78c34b6a"),абдицира,Глагол
ObjectId("5ced7ab5c199633b78c34b6b"),абдомен,Именка
ObjectId("5ced7ab6c199633b78c34b6c"),абдоминален,Придавка
ObjectId("5ced7ab8c199633b78c34b6d"),абер,Именка
ObjectId("5ced7ab9c199633b78c34b6e"),аберација,Именка
ObjectId("5ced7abac199633b78c34b6f"),аберџија,Именка
ObjectId("5ced7abbc199633b78c34b70"),абецеда,Именка
ObjectId("5ced7abbc199633b78c34b71"),абецедар,Именка
ObjectId("5ced7abbc199633b78c34b72"),абецеден,Придавка
ObjectId("5ced7abfc199633b78c34b73"),аби,Глагол
ObjectId("5ced7abfc199633b78c34b74"),абиогенеза,Именка
ObjectId("5ced7abfc199633b78c34b75"),абнормален,Придавка
ObjectId("5ced7ac0c199633b78c34b76"),аболира,Глагол
ObjectId("5ced7ac1c199633b78c34b77"),аболиција,Именка
ObjectId("5ced7ac7c199633b78c34b78"),А-бомба,Именка
ObjectId("5ced7ac9c199633b78c34b79"),абонамент,Именка
ObjectId("5ced7ac9c199633b78c34b7a"),абонација,Именка
ObjectId("5ced7acac199633b78c34b7b"),абонент,Именка
ObjectId("5ced7acbc199633b78c34b7c"),абонентски,Придавка
ObjectId("5ced7acec199633b78c34b7d"),абонира,Глагол
ObjectId("5ced7ad0c199633b78c34b7e"),абонос,Именка
ObjectId("5ced7ad1c199633b78c34b7f"),абоносов,Придавка
ObjectId("5ced7ad1c199633b78c34b80"),абортира,Глагол
ObjectId("5ced7ad2c199633b78c34b81"),абортус,Именка
ObjectId("5ced7ad3c199633b78c34b82"),абразив,Именка
ObjectId("5ced7ad4c199633b78c34b83"),абразивен,Придавка
ObjectId("5ced7ad5c199633b78c34b84"),абразија,Именка
ObjectId("5ced7ad6c199633b78c34b85"),абраш,Именка
ObjectId("5ced7ad6c199633b78c34b86"),абрашест,Придавка
ObjectId("5ced7ad7c199633b78c34b87"),абрашлив,Придавка
ObjectId("5ced7ad8c199633b78c34b88"),абрашлија,Придавка
ObjectId("5ced7ad9c199633b78c34b89"),абре,Честичка
ObjectId("5ced7adac199633b78c34b8a"),абревијатура,Именка
ObjectId("5ced7adbc199633b78c34b8b"),ав,Извик
ObjectId("5ced7adcc199633b78c34b8c"),ава,Именка
ObjectId("5ced7adec199633b78c34b8d"),аван,Именка
ObjectId("5ced7adfc199633b78c34b8e"),авангарда,Именка
ObjectId("5ced7adfc199633b78c34b8f"),авангарден,Придавка
ObjectId("5ced7ae0c199633b78c34b90"),авангардизам,Именка
ObjectId("5ced7ae1c199633b78c34b91"),аванс,Именка
ObjectId("5ced7ae3c199633b78c34b92"),авансира,Глагол
ObjectId("5ced7ae3c199633b78c34b93"),авантура,Именка
ObjectId("5ced7ae4c199633b78c34b94"),авантуризам,Именка
ObjectId("5ced7ae4c199633b78c34b95"),авантурист,Именка
ObjectId("5ced7ae7c199633b78c34b96"),аватар,Именка
ObjectId("5ced7ae8c199633b78c34b97"),Авганистан,Име
ObjectId("5ced7ae9c199633b78c34b98"),август,Именка
ObjectId("5ced7ae9c199633b78c34b99"),авенија,Именка
ObjectId("5ced7aeac199633b78c34b9a"),аверзија,Именка
ObjectId("5ced7aebc199633b78c34b9b"),аверс,Именка
ObjectId("5ced7aedc199633b78c34b9c"),авет,Именка
ObjectId("5ced7aedc199633b78c34b9d"),авијатика,Именка
ObjectId("5ced7aedc199633b78c34b9e"),авијатичар,Именка
ObjectId("5ced7aeec199633b78c34b9f"),авијација,Именка
ObjectId("5ced7aeec199633b78c34ba0"),авиоиндустрија,Именка
ObjectId("5ced7af0c199633b78c34ba1"),авиокомпанија,Именка
ObjectId("5ced7af0c199633b78c34ba2"),авиоконструктор,Именка
ObjectId("5ced7af1c199633b78c34ba3"),авиолинија,Именка
ObjectId("5ced7af1c199633b78c34ba4"),авиомеханичар,Именка
ObjectId("5ced7af2c199633b78c34ba5"),авион,Именка
ObjectId("5ced7af3c199633b78c34ba6"),авиопревозник,Именка
ObjectId("5ced7af4c199633b78c34ba7"),А-витамин,Именка
ObjectId("5ced7af5c199633b78c34ba8"),авитаминоза,Именка
ObjectId("5ced7af5c199633b78c34ba9"),авитаминозен,Придавка
ObjectId("5ced7af6c199633b78c34baa"),авка,Глагол
ObjectId("5ced7af8c199633b78c34bab"),авлија,Именка
ObjectId("5ced7af9c199633b78c34bac"),авокадо,Именка
ObjectId("5ced7afac199633b78c34bad"),авра,Именка
ObjectId("5ced7afac199633b78c34bae"),Австралија,Име
